Word Number,Word in Bangla
W001,বাবা/আব্বা
W002,আত্মীয়
W003,ভাই
W004,ববান
W005,ববৌ
W006,চাচা
W007,চাচী
W008,দাদা/নানা
W009,দাদী/নানী
W010,দাযয়ত্ব
W011,বদবর
W012,দুলাভাই
W013,স্ত্রী
W014,ফু ফা
W015,ফু ফু
W016,জামাই
W017,খালা
W018,খালু
W019,কনযা
W020,মা
W021,মামা
W022,মামী
W023,ননদ
W024,পযরবার
W025,পুত্র
W026,শ্বাশুয়ি
W027,শ্বশুর
W028,সতীন
W029,ভাবী
W030,ভাগ্নে
W031,ভাযে
W032,ভায়রা
W033,ভাগ্নলা
W034,ভাগ্নে
W035,ভাস্তে
W036,ভাসুর
W037,আম
W038,আলু
W039,আনারস
W040,আঙ্গুর
W041,আগ্নপল
W042,যবস্কু ট
W043,বরই
W044,বকক
W045,চা
W046,চাল
W047,যচযন
W048,যচপস
W049,চকগ্নলট
W050,ডাল
W051,যডম
W052,দুধ
W053,যফডার
W054,ফল
W055,ফগ্নলর রস
W056,গাজর
W057,গু়ি
W058,আইস স্তিম
W059,ঝাল
W060,কাগ্নলাজাম
W061,খাবার
W062,ব খজরু
W063,কলা
W064,কমলা
W065,বলবু
W066,যলচু
W067,লবণ
W068,মাছ
W069,মাাংস
W070,যমসটট
W071,মযরচ
W072,পান
W073,বপয়ারা
W074,বপালাও
W075,রুটট
W076,সবস্তজ
W077,সুপাযর
W078,তাল
W079,বতেঁ তু ল
W080,তরমুজ
W081,ভাত
W082,আলতা
W083,আাংটট
W084,আতর
W085,বায়িওয়ালা
W086,ববল্ট
W087,রক্তপাত
W088,ব্লাউজ
W089,বন্ধু
W090,ববারখা
W091,ববাতাম
W092,টুযপ
W093,চাদর
W094,যচরুযন
W095,চশমা
W096,চুয়ি
W097,যিপ
W098,স্তিম
W099,তথ্য
W100,বদনাদার
W101,দত্তক
W102,যফতা
W103,ফতু য়া
W104,বগস্তি
W105,ঘয়ি
W106,বলাভস
W107,গলার হার
