unified_id,word,variants,category,sources,media_count
1,পরিবার,পরিবার,পারিবারিক সম্পর্ক,"BdSLW102, ishaara",5
2,সম্পর্ক,সম্পর্ক,সাধারণ প্রশাসন ও সামাজিক,"BdSLW102, ishaara",5
3,বাবা,বাবা / আব্বা,পারিবারিক সম্পর্ক,"BdSLW102, BdSLW401, ishaara",5
4,মা,মা,পারিবারিক সম্পর্ক,"BdSLW102, BdSLW401, ishaara",5
5,ভাই,ভাই,পারিবারিক সম্পর্ক,"BdSLW102, BdSLW401, ishaara",5
6,বোন,বোন,পারিবারিক সম্পর্ক,"BdSLW102, ishaara",5
7,স্বামী,স্বামী,পারিবারিক সম্পর্ক,"BdSLW102, ishaara",5
8,স্ত্রী,স্ত্রী,পারিবারিক সম্পর্ক,"BdSLW102, BdSLW401, ishaara",5
9,চাচা,চাচা,পারিবারিক সম্পর্ক,"BdSLW102, BdSLW401, ishaara",5
10,মামা,মামা,,"BdSLW102, BdSLW401",0
11,খালা,খালা,,"BdSLW102, BdSLW401",0
12,ফুফু,ফুফু,,BdSLW102,0
13,বন্ধু,বন্ধু,বিবিধ (সাধারণ),"BdSLW102, BdSLW401, ishaara",5
14,কালো,কালো,,BdSLW102,0
15,সাদা,সাদা,রং,"BdSLW102, ishaara",5
16,লাল,লাল,রং,"BdSLW102, ishaara",5
17,নীল,নীল,রং,"BdSLW102, ishaara",5
18,হলুদ,হলুদ,,BdSLW102,0
19,সবুজ,সবুজ,,BdSLW102,0
20,খাদ্য,খাদ্য,বিবিধ (সাধারণ),"BdSLW102, ishaara",5
21,ফলমূল,ফলমূল,,BdSLW102,0
22,ভাত,ভাত,খাদ্য ও পানীয় (সাধারণ),"BdSLW102, BdSLW401, ishaara",5
23,মাছ,মাছ,খাদ্য ও পানীয় (সাধারণ),"BdSLW102, BdSLW401, ishaara",5
24,মাংস,মাংস,খাদ্য ও পানীয় (সাধারণ),"BdSLW102, ishaara",5
25,মুরগী,মুরগী,প্রাণী,"BdSLW102, ishaara",5
26,চা,চা,খাদ্য ও পানীয় (সাধারণ),"BdSLW102, BdSLW401, ishaara",5
27,কফি,কফি,খাদ্য ও পানীয় (সাধারণ),"BdSLW102, ishaara",5
28,রুটি,রুটি,খাদ্য ও পানীয় (সাধারণ),"BdSLW102, ishaara",5
29,সবজি,সবজি,,BdSLW102,0
30,ডাল,ডাল,খাদ্য ও পানীয় (সাধারণ),"BdSLW102, BdSLW401, ishaara",5
31,মিষ্টি,মিষ্টি,খাদ্য ও পানীয় (সাধারণ),"BdSLW102, ishaara",5
32,পানি,পানি,খাদ্য ও পানীয় (সাধারণ),"BdSLW102, ishaara",5
33,দুধ,দুধ,খাদ্য ও পানীয় (সাধারণ),"BdSLW102, BdSLW401, ishaara",5
34,আম,আম,ফল,"BdSLW102, BdSLW401, ishaara",5
35,কাঁঠাল,কাঁঠাল,ফল,"BdSLW102, ishaara",5
36,আপেল,আপেল,ফল,"BdSLW102, ishaara",5
37,কমলা,কমলা,রং,"BdSLW102, BdSLW401, ishaara",5
38,কলা,কলা,ফল,"BdSLW102, BdSLW401, ishaara",5
39,আঙ্গুর,আঙ্গুর,ফল,"BdSLW102, BdSLW401, ishaara",5
40,পেঁপে,পেঁপে,ফল,"BdSLW102, ishaara",5
41,স্কুল,স্কুল,শিক্ষা,"BdSLW102, ishaara",5
42,কলেজ,কলেজ,শিক্ষা,"BdSLW102, ishaara",5
43,বিশ্ববিদ্যালয়,বিশ্ববিদ্যালয়,,BdSLW102,0
44,অফিস,অফিস,বিবিধ (সাধারণ),"BdSLW102, ishaara",5
45,কাজ,কাজ,ক্রিয়া ও অবস্থা,"BdSLW102, ishaara",5
